channel,u0,tE,rho,q,s,mag_ref,seed,event_delta_chi2,anomaly_delta_chi2,event_detected,anomaly_detected,recovered,failure_reason,n_points_in_anomaly_window,wall_time_s
ffp,1.0,0.3,0.005,0.0,1.0,19.0,2,304623.1851918348,87.8034410542239,True,True,True,recovered,106,0.0864901002496481
ffp,1.0,0.3,0.005,0.0,1.0,19.0,3,308154.25167782,103.59685376698131,True,True,True,recovered,105,0.03717469982802868
ffp,1.0,0.3,0.005,0.0,1.0,19.0,4,304799.3389087833,121.94896736573205,True,True,True,recovered,105,0.05450410023331642
ffp,1.0,1.0,0.005,0.0,1.0,19.0,0,1015921.1515989981,331.02701682155237,True,True,True,recovered,354,0.06933300010859966
ffp,1.0,1.0,0.005,0.0,1.0,19.0,1,1007540.0402795348,296.99164554231174,True,True,True,recovered,354,0.060822300147265196
ffp,1.0,1.0,0.005,0.0,1.0,19.0,2,1020092.7199917488,385.9958103666753,True,True,True,recovered,357,0.04574970016255975
ffp,1.0,1.0,0.005,0.0,1.0,19.0,3,1022431.2338139699,380.4933326486546,True,True,True,recovered,355,0.05402369983494282
ffp,1.0,1.0,0.005,0.0,1.0,19.0,4,1015558.3495810463,374.65877719605805,True,True,True,recovered,355,0.04474249994382262
ffp,1.5,0.02,0.005,0.0,1.0,19.0,0,2905.963318039874,0.7959990739793671,True,True,True,recovered,5,0.6099056997336447
ffp,1.5,0.02,0.005,0.0,1.0,19.0,1,2923.3936396676218,2.5306123030530174,True,True,True,recovered,5,0.5060592000372708
ffp,1.5,0.02,0.005,0.0,1.0,19.0,2,2802.1694466468325,0.9484421776591649,True,True,True,recovered,5,0.4770991997793317
ffp,1.5,0.02,0.005,0.0,1.0,19.0,3,2895.9261832395496,1.3188701881390554,True,True,True,recovered,5,0.25202659983187914
ffp,1.5,0.02,0.005,0.0,1.0,19.0,4,2864.7401517122344,3.034906631548181,True,True,True,recovered,5,0.29350929986685514
ffp,1.5,0.08,0.005,0.0,1.0,19.0,0,18558.195341579878,17.387379324217413,True,True,True,recovered,28,0.25492369988933206
ffp,1.5,0.08,0.005,0.0,1.0,19.0,1,18116.28562941573,22.317931806723834,True,True,True,recovered,27,0.21203440008684993
ffp,1.5,0.08,0.005,0.0,1.0,19.0,2,18130.903309578236,25.6892807691565,True,True,True,recovered,28,0.16275550005957484
ffp,1.5,0.08,0.005,0.0,1.0,19.0,3,18476.615015943607,19.299222938078334,True,True,True,recovered,28,0.2359099998138845
ffp,1.5,0.08,0.005,0.0,1.0,19.0,4,18471.869958695774,20.936549223316735,True,True,True,recovered,28,0.17538650007918477
ffp,1.5,0.3,0.005,0.0,1.0,19.0,0,77887.80288553803,93.67279177162196,True,True,True,recovered,105,0.11096990015357733
ffp,1.5,0.3,0.005,0.0,1.0,19.0,1,76503.9580721336,82.6202444022513,True,True,True,recovered,104,0.19826339976862073
ffp,1.5,0.3,0.005,0.0,1.0,19.0,2,77009.21635964914,89.94323461065402,True,True,True,recovered,106,0.21938200015574694
ffp,1.5,0.3,0.005,0.0,1.0,19.0,3,78321.01804618433,103.47713121022385,True,True,True,recovered,105,0.038912500254809856
ffp,1.5,0.3,0.005,0.0,1.0,19.0,4,77442.95188320543,121.0605326121796,True,True,True,recovered,105,0.1777637000195682
ffp,1.5,1.0,0.005,0.0,1.0,19.0,0,256259.72601628682,331.51806722964284,True,True,True,recovered,354,0.14685529982671142
ffp,1.5,1.0,0.005,0.0,1.0,19.0,1,253591.1868851494,296.3238470633154,True,True,True,recovered,354,0.08553849998861551
ffp,1.5,1.0,0.005,0.0,1.0,19.0,2,256150.7324113346,386.27734037088874,True,True,True,recovered,357,0.1417980999685824
ffp,1.5,1.0,0.005,0.0,1.0,19.0,3,257580.52318125495,380.56452566157316,True,True,True,recovered,355,0.08720589987933636
ffp,1.5,1.0,0.005,0.0,1.0,19.0,4,255559.55266541854,374.8769797789959,True,True,True,recovered,355,0.05650850012898445
ffp,2.5,0.02,0.005,0.0,1.0,19.0,0,303.30154492965085,1.9542349468186282,False,False,False,event_below_threshold,5,0.46681909961625934
ffp,2.5,0.02,0.005,0.0,1.0,19.0,1,313.1554943833471,2.786135218940521,False,False,False,event_below_threshold,5,0.2062865998595953
ffp,2.5,0.02,0.005,0.0,1.0,19.0,2,264.47596791038086,1.474611711693958,False,False,False,event_below_threshold,5,0.4544290998019278
ffp,2.5,0.02,0.005,0.0,1.0,19.0,3,300.80943956875126,1.533714794559387,False,False,False,event_below_threshold,5,0.04792280029505491
ffp,2.5,0.02,0.005,0.0,1.0,19.0,4,305.5207538433169,2.908954657671895,False,False,False,event_below_threshold,5,0.3443875997327268
ffp,2.5,0.08,0.005,0.0,1.0,19.0,0,1782.9208608486442,17.826468583031602,True,True,True,recovered,28,0.1724775000475347
ffp,2.5,0.08,0.005,0.0,1.0,19.0,1,1705.8770522599953,22.081353747641664,True,True,True,recovered,27,0.5796819999814034
ffp,2.5,0.08,0.005,0.0,1.0,19.0,2,1646.4814872180577,26.072819540957674,True,True,True,recovered,28,0.5467784996144474
ffp,2.5,0.08,0.005,0.0,1.0,19.0,3,1758.9157895600292,20.095706881899762,True,True,True,recovered,28,0.548032300081104
ffp,2.5,0.08,0.005,0.0,1.0,19.0,4,1743.9114638144965,20.34386954196503,True,True,True,recovered,28,0.518245100043714
ffp,2.5,0.3,0.005,0.0,1.0,19.0,0,6998.226999972932,94.11718949737794,True,True,True,recovered,105,0.5985869001597166
ffp,2.5,0.3,0.005,0.0,1.0,19.0,1,6816.060949808285,82.84354808863989,True,True,True,recovered,104,0.5502772000618279
